"paper","id","title","url","citedByUuid","citedByUrl","found"
"03_伦理作为社会技术_权力互惠与社会资本.md","26039300-f815-55a5-bd97-e5aa22635fba","高跟","https://www.zhihu.com/question/589084113/answer/2058906714028644292","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","2b41e782-37c3-56bc-b2df-0de09ead4bcc","道德与伦理","https://www.zhihu.com/question/19877371/answer/2251182448","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","359095f1-02f7-5cfb-ac88-a2add28d06ca","后半句","https://www.ifdian.net/p/ed6f1e387afc11f1a7eb52540025c377","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","375bbeb5-3d6c-5be6-a19c-c0b252263579","实习生","https://www.zhihu.com/question/1950221207/answer/25087159639","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","3d075c9c-05f2-59ea-a35a-6f59dd033d4a","废没废","https://www.zhihu.com/question/360327798/answer/950494273","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","523c4064-2745-5b68-92dd-d8209abaf022","反叛逆","https://afdian.com/p/a65f1942f3d211efb3c75254001e7c00","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","5a49c3ea-822e-5e88-9b69-b28345b46506","道德绑架","https://www.zhihu.com/question/55493760/answer/2021277965","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","5b10c323-2fe2-5bea-9bbd-616bcfd9180d","盗名","https://afdian.com/p/e308d9268b1f11efb96a52540025c377","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","61843e2f-9230-5dc2-adf6-bb7b3416d5f6","不听老人言","https://www.zhihu.com/question/1889581579178849918/answer/2033525184934715882","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","6394ed80-87a6-5672-be17-6c14abfad7e0","假面","https://www.zhihu.com/question/21059033/answer/1778974150","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","6e3bb46a-5329-598f-a963-8e0659a84d9e","不懂","https://www.ifdian.net/p/98401098458c11f1a20752540025c377","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","7c1ef093-4ed5-5a74-b177-ef28f3ee85bb","我不同意","https://afdian.com/p/7654f42ea16111ef9b5c5254001e7c00","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","88f6cc45-e9e6-5f6e-be62-c55309d38e84","感谢","https://www.zhihu.com/question/21723111/answer/1857318376","True","True","True"
